dataset,comparison,metric,u_stat,p_value,p_bonferroni,effect_size_r,z_score,median1,median2,n1,n2
XSum,Single-shot_vs_Adaptive,rouge1,1648,1.212876111528775e-05,0.0006549531002255385,0.357383707035522,-4.377038623106698,0.183206106870229,0.2298850574712643,75,75
XSum,Single-shot_vs_Adaptive,rouge2,2344,0.07846579183047825,1.0,0.14362866027704965,-1.759084650591614,0.0425531914893616,0.0571428571428571,75,75
XSum,Single-shot_vs_Adaptive,rougeL,1618,7.187309552171067e-06,0.00038811471581723763,0.366590672437897,-4.489800459683083,0.1228070175438596,0.175438596491228,75,75
XSum,Single-shot_vs_Adaptive,bertscore_f1,1696,2.7318437688919306e-05,0.0014751956352016425,0.34265256239172204,-4.196619684584481,0.8629910349845886,0.8791141510009766,75,75
XSum,Single-shot_vs_Adaptive,latency_sec,4207,1.6086689781105073e-07,8.686812481796739e-06,0.4279704417870635,5.241546036858987,3.36359977722168,2.2162327766418457,75,75
XSum,Single-shot_vs_Adaptive,token_usage,1656,1.3919933326991681e-05,0.0007516763996575508,0.35492851626155536,-4.346968800019662,378.0,605.0,75,75
XSum,MAS_vs_Adaptive,rouge1,339,1.491050499683228e-20,8.051672698289431e-19,0.7589608480024439,-9.295334061780045,0.0932203389830508,0.2298850574712643,75,75
XSum,MAS_vs_Adaptive,rouge2,1134,2.643622627938937e-10,1.427556219087026e-08,0.5149762648395071,-6.30714539250583,0.0186915887850467,0.0571428571428571,75,75
XSum,MAS_vs_Adaptive,rougeL,343,1.6878107611059393e-20,9.114178109972072e-19,0.7578867020388335,-9.282178514179467,0.0647773279352226,0.175438596491228,75,75
XSum,MAS_vs_Adaptive,bertscore_f1,113,3.494700723535417e-24,1.8871383907091253e-22,0.828473436790375,-10.146685927931756,0.812466561794281,0.8791141510009766,75,75
XSum,MAS_vs_Adaptive,latency_sec,5565,4.454543061166164e-25,2.4054532530297285e-23,0.8447390756679042,10.34589850588337,15.254345417022703,2.2162327766418457,75,75
XSum,MAS_vs_Adaptive,token_usage,5544,1.0119261234394958e-24,5.464401066573278e-23,0.8382941998862417,10.2669652202799,2085.0,605.0,75,75
